"CHANGENUMBER","DATE","DOCUMENTNUMBER","OFFICE","TITLE"
"","2011-11-17T05:00:00Z","23.1311-1C","ACE-100","Installation of Electronic Display in Part 23 Airplanes"
"","2016-12-09T05:00:00Z","20-188","AIR-1","Compatibility of Changes to Type Design Installed on Aircraft"
"","2015-02-15T05:00:00Z","21-54","AIR-110","Experimental Airworthiness Certification of Certain Former Military Aircraft"
"","2014-11-21T05:00:00Z","120-61B","AFS-200","In-flight Radiation Exposure"
"","2016-06-24T05:00:00Z","25.975-1","ANM-112","Fuel Vent Fire Protection"
"","2016-04-13T05:00:00Z","33.90-1A","ANE-111","Initial Maintenance Inspection  (IMI), 14 CFR 33.90, Test for Turbine Engines"
"","2015-09-24T05:00:00Z","120-87C","AFS-200","Use of Child Restraint Systems on Aircraft"
"","2017-02-15T05:00:00Z","43-6D","AFS-300","Altitude Reporting Equipment and Transponder System Maintenance and Inspection Practices"
"","2016-07-22T05:00:00Z","91-89","AFS-800","Mitsubishi MU-2B Training Program"
"0","2017-12-06T05:00:00Z","150/5360-14A","AAS-100","Access to Airports by Individuals with Disabilities"
"","2022-10-07T05:00:00Z","00-72","AIR-600","Best Practices for Airborne Electronic Hardware Design Assurance Using EUROCAE ED-80( ) and RTCA DO-254( )"
"","2017-10-27T05:00:00Z","120-116","AFS-800","Operations and Airworthiness Considerations for U.S.-Based Leasing Companies Operating U.S.-Registered Large Transport Category Airplanes Which Part 125 Would Apply"
"0","2018-06-29T05:00:00Z","20-146A","AIR-600","Methodology for Dynamic Seat Certification by Analysis for Use in Parts 23, 25, 27, and 29 Airplanes and Rotorcraft"
"","2016-08-18T05:00:00Z","65-25F","AFS-300","William (Bill) O’Brien Aviation Maintenance Technician Awards Program"
"","2018-04-30T05:00:00Z","61-98D","AFS-800","Currency Requirements and Guidance for the Flight Review and Instrument Proficiency Check"
"","2016-06-22T05:00:00Z","120-78A","AFS-300","Electronic Signatures, Electronic Recordkeeping, and Electronic Manuals"
